LEPRI;STEFANO;stefanolepri;Y
LEVA;DANILO;LevaDanilo;Y
LEZZI;BARBARA;BarbaraLezzi;N
LIBRANDI;GIANFRANCO;GFLibrandi;N
LIUZZI;MIRELLA;mirellaliuzzi;N
LO GIUDICE;SERGIO;SergioLoGiudice;Y
LOCATELLI;PIA ELDA;PiaLocatelli;Y
LODOLINI;EMANUELE;ELodolini;Y
LOMBARDI;ROBERTA;robertalombardi;N
LOREFICE;MARIALUCIA;Mlucialorefice;N
LORENZIN;BEATRICE;salutelorenzin;Y
LOSACCO;ALBERTO;albertolosacco;Y
LOTTI;LUCA;LottiLuca;Y
LUCHERINI;CARLO;carlo_lucherini;Y
LUCIDI;STEFANO;sfnlcd;N
LUMIA;GIUSEPPE;Giuseppe_Lumia;Y
LUPI;MAURIZIO;Maurizio_Lupi;Y
LUPO;LOREDANA;LorettaLupo78;N
MADIA;MARIA ANNA;mariannamadia;Y
MAESTRI;ANDREA;AvvAMaestri;N
MAESTRI;PATRIZIA;MaestriPatrizia;Y
MAGORNO;ERNESTO;Emagorno;Y
MAIETTA;PASQUALE;PASQUALEMAIETT1;N
MALAN;LUCIO;LucioMalan;N
MALPEZZI;SIMONA FLAVIA;megmalp;Y
MANASSERO;PATRIZIA;patriziamanas;Y
MANCIULLI;ANDREA;AndreaManciulli;Y
MANCONI;LUIGI;LuigiManconi1;Y
MANCUSO;BRUNO;bmancuso8;Y
MANDELLI;ANDREA;mandelli_andrea;N
MANFREDI;MASSIMILIANO;ManfrediTW;Y
MANGILI;GIOVANNA;giovannamangili;N
MANNINO;CLAUDIA;ManninoClaudia;N
MANTERO;MATTEO;ManteroM5S;N
MANZI;IRENE;ManziIrene;Y
MARAN;ALESSANDRO;MaranAlessandro;Y
MARANTELLI;DANIELE;DanieleMarante1;Y
MARAZZITI;MARIO;mariomarazziti;Y
MARCHI;MAINO;MainoMarchi;Y
MARCON;GIULIO;GiulioMarcon1;N
MARCUCCI;ANDREA;AndreaMarcucci;Y
MARGIOTTA;;s_margiotta;Y
MARIANI;RAFFAELLA;mariraf;Y
MARIANO;ELISA;elisamariano16;Y
MARINELLO;GIUSEPPE FRANCESCO MARIA;GiuseMarinello3;Y
MARINO;LUIGI;SenLuigiMarino;Y
MARINO;MAURO MARIA;mauro_m_marino;Y
MARRONI;UMBERTO;UMarroni;Y
MARTELLA;ANDREA;andreamartella;Y
MARTELLI;CARLO;Carlo_Martelli;N
MARTELLI;GIOVANNA;giova_martelli;N
MARTINELLI;MARCO;martinellilucca;N
MARTON;BRUNO;Marton_Bruno;N
MARZANA;MARIA;maria_marzana;N
MASTRANGELI;MARINO GERMANO;M_Mastrangeli;N
MATARRELLI;TONI;tonimatarrelli;N
MATARRESE;SALVATORE;s_matarrese;N
MATTEOLI;ALTERO;matteolialtero;N
MATTIELLO;DAVIDE;mattiellodavide;Y
MAURI;MATTEO;mmauripd;Y
MAURO;GIOVANNI;GiovanniMauro62;N
MAURO;MARIO;MarioMauro;N
MAZZIOTTI DI CELSO;ANDREA;_AMazziotti;N
MAZZOLI;ALESSANDRO;mazzoli2013;Y
MAZZONI;RICCARDO;MazzoniRiccardo;Y
MELILLA;GIANNI;GianniMelilla;N
MELONI;GIORGIA;GiorgiaMeloni;N
MELONI;MARCO;MarcoMeloni;Y
MERLO;RICARDO ANTONIO;RicardoMerlo5;N
META;MICHELE POMPEO;michele_meta;Y
MICCOLI;MARCO;marcomiccoli1;Y
MICILLO;SALVATORE;micillom5s;N
MIGLIORE;GENNARO;gennaromigliore;Y
MINEO;CORRADINO;CorradinoMineo;N
MINNUCCI;EMILIANO;eminnucci;Y
MINZOLINI;AUGUSTO;AugustoMinzolin;N
MIOTTO;ANNA MARGHERITA;marghemiotto;Y
MIRABELLI;FRANCO;FraMirabelli;Y
MISURACA;DORE;doremisuraca;Y
MOGNATO;MICHELE;michele_mognato;Y
MOLEA;BRUNO;MoleaBruno;Y
MOLTENI;NICOLA;NicolaMolteni;N
MONACO;FRANCESCO;fra_monaco;N
MONCHIERO;GIOVANNI;Monchiero_G;N
MONGIELLO;COLOMBA;ColombaMongiell;Y
MONTEVECCHI;MICHELA;m_montevecchi;N
MONTI;MARIO;SenatoreMonti;N
MONTRONI;DANIELE;DanieleMontroni;Y
MORANI;ALESSIA;AlessiaMorani;Y
MORASSUT;ROBERTO;RMorassut;Y
MORETTO;SARA;sara_moretto;Y
MORGONI;MARIO;mariomorgoni;Y
MORONESE;VILMA;vilmamoronese;N
MORRA;NICOLA;NicolaMorra63;N
MOSCARDELLI;CLAUDIO;ClaMoscardelli;Y
MOSCATT;ANTONINO;ToninoMoscatt;Y
MUCCI;MARA;mara_mucci;N
MURA;ROMINA;RominaMura;Y
MUSSINI;MARIA;MariaMussini;N
NACCARATO;PAOLO;paolonak;N
NACCARATO;ALESSANDRO;alexnacca83;Y
NAPOLITANO;GIORGIO;_Napolitano_;Y
NARDI;MARTINA;martinanardi4;Y
NARDUOLO;GIULIA;GNarduolo;Y
NENCINI;RICCARDO;NenciniPsi;Y
NESCI;DALILA;DalilaNesci;N
NICCHI;MARISA;MarisaNicchi;N
NUGNES;PAOLA;paolanugnes;N
NUTI;RICCARDO;Riccardo_Nuti;N
OCCHIUTO;ROBERTO;robertoocchiuto;N
OLIARO;ROBERTA;RobertaOliaro;Y
OLIVERO;ANDREA;AndreaOlivero;Y
ORLANDO;ANDREA;AndreaOrlandosp;Y
ORRÙ;PAMELA;pamela_orr;Y
OTTOBRE;MAURO;MauroOttobre;Y
PADUA;VENERA;venerapadua;Y
PAGANO;ALESSANDRO;alepaganotwit;Y
PAGLIA;GIOVANNI;GiovanniPaglia;N
PAGLIARI;GIORGIO;PAGLIARIG;Y
PAGLINI;SARA;sarapaglinicarr;N
PALAZZOTTO;ERASMO;EPalazzotto;N
PALESE;ROCCO;RoccoPalese1;N
PALLADINO;GIOVANNI;palladinogiov;Y
PALMIERI;ANTONIO;antoniopalmieri;N
PANIZZA;FRANCO;panizza_f;Y
PANNARALE;ANNALISA;AnnalisaPanna;N
PARENTE;ANNAMARIA;Am_Parente;Y
PARENTELA;PAOLO;PaoloParentela;N
PARIS;VALENTINA;paris_valentina;Y
PARISI;MASSIMO;mparisi68;Y
PARRINI;DARIO;DarioParrini;Y
PASTORELLI;ORESTE;OrePastorelli;Y
PASTORINO;LUCA;lucapasto71;N
PATRIARCA;EDOARDO;edopatriarca;Y
PEGORER;CARLO;CarloPegorer;Y
PELILLO;MICHELE;michelepelillo;Y
PELINO;PAOLA;PelinoPaola;N
PELLEGRINO;SERENA;serpellegrino11;N
PELUFFO;VINICIO GIUSEPPE GUIDO;Vpeluffo;Y
PES;CATERINA;caterinapes;Y
PESCO;DANIELE;DanielePesco;N
PETRAGLIA;ALESSIA;ale_petraglia;N
PETRAROLI;COSIMO;PetraroliCosimo;N
PETRINI;PAOLO;PaoloPetrini;Y
PETROCELLI;VITO;vitopetrocelli;N
PEZZOPANE;STEFANIA;stefaniapezzopa;Y
PIAZZONI;ILEANA CATHIA;IleP;Y
PICCHI;GUGLIELMO;iostoconPicchi;N
PICCOLI;GIOVANNI;PiccoliGio;N
PICCONE;FILIPPO;FilippoPiccone;N
PIEPOLI;GAETANO;GaetanoPiepoli1;Y
PIGNEDOLI;LEANA;LeanaPignedoli;Y
PILI;MAURO;MAURO_PILI;N
PILOZZI;NAZZARENO;NPilozzi;Y
PINI;GIUDITTA;piccolapini;N
PINNA;PAOLA;PaoPinna;Y
PINOTTI;ROBERTA;robertapinotti;Y
PIRAS;MICHELE;MichelePiras2;N
PISANO;GIROLAMO;mimmogp;N
PISO;VINCENZO;vincenzopiso;N
PIZZOLANTE;SERGIO;pizzolante_s;Y
POLIDORI;CATIA;CatiaPolidori;N
POLLASTRINI;BARBARA;BPOLLASTRINI;Y
